Geo_id	European Descent	African Descent	Asian	Hispanic/Latino	Other	Multi-Racial	NA	American Indian	Pacific ISlander	Unknown	Native American	Raw Data	sample size	Platform type	SRA ID	SRA Present	Recount3	ARCHS4	European Descent	European Ancestry	African Ancestry	African Descent	Tissue	Disease	series_type	Illumina	Affymetrix	series_title	series_submission_date
GSE68465	295	12	6				148		1			1	462	Affymetrix Human Genome U133A Array					yes	295	12	yes	Lung	Lung adenocarcinoma	Expression profiling by array		1	caArray_jacob-00182: Gene expression-based survival prediction in lung adenocarcinoma: a multi-site, blinded validation study	May 01 2015
GSE69031	94	21			11		4					1	130	Affymetrix Human Genome U133A 2.0 Array					yes	94	21	yes	Breast	Breast Cancer	Expression profiling by array		1	caArray_gray-00248: Genomic and transcriptional aberrations linked to breast cancer pathophysiologies	May 19 2015
GSE71620	358	62										1	420	Affymetrix Human Gene 1.1 ST Array					yes	358	62	yes	Brain	NA	Expression profiling by array		1	The effects of aging on circadian patterns of gene expression in the human prefrontal cortex	Jul 31 2015
GSE73129	39	67	1		1		7					1	115	Affymetrix Human Genome U133 Plus 2.0 Array					yes	39	67	yes	Olfactory Epithelial cell	Schizophrenia	Expression profiling by array		1	Molecular signatures associated with cognitive deficits in schizophrenia: a study of biopsied olfactory neural epithelium	Sep 17 2015
GSE73374	11	15	1	6	3							1	36	Affymetrix Human Gene 2.0 ST Array					yes	11	15	yes	Placental tissue	Preeclampsia	Expression profiling by array		1	Epigenetics and Preeclampsia: Defining Functional Epimutations in the Preeclamptic Placenta Related to the TGF-β Pathway [gene expression]	Sep 23 2015
GSE76324	24	45					148					1	217	Affymetrix Human Genome U133 Plus 2.0 Array					yes	24	45	yes	Epithelial cells	Smoking-induced airway disease	Expression profiling by array		1	Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [array]	Dec 24 2015
GSE76404	28	22										1	50	Illumina HiSeq 2000	SRP067914	1	1	1	yes	28	22	yes	Adipose tissue	NA	Expression profiling by high throughput sequencing	1		Human adipose transcriptome reveals primate-specific long intergenic noncoding RNAs that modulate adipocyte metabolic function	Dec 29 2015
GSE77658	24	45					115					1	184	Affymetrix Human Genome U133 Plus 2.0 Array					yes	24	45	yes	Epithelial cells	NA	Expression profiling by array		1	POU2AF1 Functions in the Human Airway Epithelium to Regulate Expression of Host Defense Genes [array]	Feb 08 2016
GSE79636	250	20	55	16								1	341	Illumina HiSeq 2500	SRP072417	1	1	1	yes	250	20	yes	iPSC	Insulin Resistance	Expression profiling by high throughput sequencing	1		NextGen Consortium: GENESiPS Study: Identifying the Gene Networks of Insulin Resistance	Mar 28 2016
GSE81608	593	369		593				45				1	1600	Illumina HiSeq 2500	SRP075377	1	0	1	yes	593	369	yes	Islet Cells	Diabetes	Expression profiling by high throughput sequencing	1		RNA Sequencing of Single Human Islet Cells Reveals Type 2 Diabetes Genes	May 18 2016
GSE84422	1539	352	26	87								1	2004	Affymetrix Human Genome U133A Array					yes	805	187	yes	Brain	Alzheimer	Expression profiling by array		1	Molecular Signatures Underlying Selective Regional Vulnerability to Alzheimer''s Disease	Jul 14 2016
GSE85307	118	168	8		16			6				1	316	Affymetrix Human Gene 1.0 ST Array					yes	118	168	yes	NA	Preeclampsia	Expression profiling by array + Other		1	Early Pregnancy Gene Expression Profiling of Women with Preeclampsia: The “Vitamin D Antenatal Asthma Reduction Trial” (VDAART) Study	Aug 08 2016
GSE87290	18	12										1	30	Illumina HiSeq 2000	SRP090337	1	1	1	yes	18	12	yes	PBMC	NA	Expression profiling by high throughput sequencing	1		RNA-seq of human peripheral blood mononuclear cells	Sep 22 2016
GSE88837	10	11		9								1	30	Affymetrix Human Genome U133 Plus 2.0 Array					yes	10	11	yes	Visceral Adipose tissue	Obesity	Expression profiling by array		1	Analysis of obesity-induced gene expression changes in visceral adipose tisssue	Oct 17 2016
GSE88884	1215	233	19			39	64				250	1	1820	Affymetrix Human Transcriptome Array 2.0					yes	1215	233	yes	Blood	Systemic Lupus Erythematosus	Expression profiling by array		1	Gene expression changes in baseline SLE patients vs. healthy controls from two phase III trials (ILLUMINATE-1 and ILLUMINATE-2) of B cell activating factor blockade with tabalumab	Oct 18 2016
GSE88885	641	135	9			9					114	1	908	Affymetrix Human Transcriptome Array 2.0					yes	641	135	yes	Blood	Systemic Lupus Erythematosus	Expression profiling by array		1	Pharmacodynamic-induced changes in SLE Patients from the ILLUMINATE-1 phase III trial of B cell activating factor blockade with tabalumab	Oct 18 2016
GSE88886	323	56	3			15					21	1	418	Affymetrix Human Transcriptome Array 2.0					yes	323	56	yes	Blood	Systemic Lupus Erythematosus	Expression profiling by array		1	Pharmacodynamic-induced changes in SLE Patients from the ILLUMINATE-2 phase III trial of B cell activating factor blockade with tabalumab	Oct 18 2016
GSE93624                                                                                                                                    	210	10				25						1	245	Illumina HiSeq 2000	SRP096757	1		1	yes	210	10	yes	Ileal cells	Crohn Disease	Expression profiling by high throughput sequencing	1		Profiling of Ileal Transcriptome in Pediatric Crohn Disease	Jan 13 2017
